Starting Bayesian optimization with parallelism...

Testing configuration: depth=9, learning_rate=0.5, loss_function=L2, optimizer=Adagrad
Epoch 1/20 - avg_loss=0.184102, avg_acc=0.821675
Epoch 2/20 - avg_loss=0.061641, avg_acc=0.939508
Epoch 3/20 - avg_loss=0.049712, avg_acc=0.959216
Epoch 4/20 - avg_loss=0.045379, avg_acc=0.964760
Epoch 5/20 - avg_loss=0.037303, avg_acc=0.974823
Epoch 6/20 - avg_loss=0.032965, avg_acc=0.978241
Epoch 7/20 - avg_loss=0.031819, avg_acc=0.979418
Epoch 8/20 - avg_loss=0.031315, avg_acc=0.980102
Epoch 9/20 - avg_loss=0.030663, avg_acc=0.981165
Epoch 10/20 - avg_loss=0.030332, avg_acc=0.980785
Epoch 11/20 - avg_loss=0.030013, avg_acc=0.980937
Epoch 12/20 - avg_loss=0.029764, avg_acc=0.981735
Epoch 13/20 - avg_loss=0.029684, avg_acc=0.981697
Epoch 14/20 - avg_loss=0.029575, avg_acc=0.981507
Epoch 15/20 - avg_loss=0.029419, avg_acc=0.982076
Epoch 16/20 - avg_loss=0.029270, avg_acc=0.982532
Epoch 17/20 - avg_loss=0.029003, avg_acc=0.982038
Epoch 18/20 - avg_loss=0.028951, avg_acc=0.981203
Epoch 19/20 - avg_loss=0.028717, avg_acc=0.982228
Epoch 20/20 - avg_loss=0.028502, avg_acc=0.982494

Testing configuration: depth=1, learning_rate=5e-05, loss_function=L2, optimizer=Adam
Epoch 1/20 - avg_loss=0.690823, avg_acc=0.511696
Epoch 2/20 - avg_loss=0.633460, avg_acc=0.527531
Epoch 3/20 - avg_loss=0.618195, avg_acc=0.526923
Epoch 4/20 - avg_loss=0.611433, avg_acc=0.523772
Epoch 5/20 - avg_loss=0.608036, avg_acc=0.517924
Epoch 6/20 - avg_loss=0.605502, avg_acc=0.503759
Epoch 7/20 - avg_loss=0.602890, avg_acc=0.489861
Epoch 8/20 - avg_loss=0.599976, avg_acc=0.473418
Epoch 9/20 - avg_loss=0.596459, avg_acc=0.453140
Epoch 10/20 - avg_loss=0.591874, avg_acc=0.437647
Epoch 11/20 - avg_loss=0.583820, avg_acc=0.433356
Epoch 12/20 - avg_loss=0.562501, avg_acc=0.465672
Epoch 13/20 - avg_loss=0.512849, avg_acc=0.528974
Epoch 14/20 - avg_loss=0.443183, avg_acc=0.546290
Epoch 15/20 - avg_loss=0.349964, avg_acc=0.624706
Epoch 16/20 - avg_loss=0.296076, avg_acc=0.694501
Epoch 17/20 - avg_loss=0.285214, avg_acc=0.707754
Epoch 18/20 - avg_loss=0.282266, avg_acc=0.710109
Epoch 19/20 - avg_loss=0.281344, avg_acc=0.712273
Epoch 20/20 - avg_loss=0.280998, avg_acc=0.714665

Testing configuration: depth=5, learning_rate=0.0005, loss_function=L2, optimizer=SGD
Epoch 1/20 - avg_loss=0.223075, avg_acc=0.831245
Epoch 2/20 - avg_loss=0.098550, avg_acc=0.935900
Epoch 3/20 - avg_loss=0.084421, avg_acc=0.935217
Epoch 4/20 - avg_loss=0.079367, avg_acc=0.938938
Epoch 5/20 - avg_loss=0.075812, avg_acc=0.941103
Epoch 6/20 - avg_loss=0.072534, avg_acc=0.943989
Epoch 7/20 - avg_loss=0.069773, avg_acc=0.947406
Epoch 8/20 - avg_loss=0.067892, avg_acc=0.948887
Epoch 9/20 - avg_loss=0.066645, avg_acc=0.949191
Epoch 10/20 - avg_loss=0.065705, avg_acc=0.950292
Epoch 11/20 - avg_loss=0.065047, avg_acc=0.949191
Epoch 12/20 - avg_loss=0.064478, avg_acc=0.950406
Epoch 13/20 - avg_loss=0.064264, avg_acc=0.950406
Epoch 14/20 - avg_loss=0.064044, avg_acc=0.949267
Epoch 15/20 - avg_loss=0.063963, avg_acc=0.949533
Epoch 16/20 - avg_loss=0.063775, avg_acc=0.949875
Epoch 17/20 - avg_loss=0.063702, avg_acc=0.950482
Epoch 18/20 - avg_loss=0.063685, avg_acc=0.950065
Epoch 19/20 - avg_loss=0.063557, avg_acc=0.949381
Epoch 20/20 - avg_loss=0.063596, avg_acc=0.949989

Testing configuration: depth=6, learning_rate=0.0005, loss_function=L1, optimizer=SGD
Epoch 1/20 - avg_loss=0.339581, avg_acc=0.786967
Epoch 2/20 - avg_loss=0.201630, avg_acc=0.896446
Epoch 3/20 - avg_loss=0.185395, avg_acc=0.903775
Epoch 4/20 - avg_loss=0.176481, avg_acc=0.908749
Epoch 5/20 - avg_loss=0.168325, avg_acc=0.912774
Epoch 6/20 - avg_loss=0.161929, avg_acc=0.917179
Epoch 7/20 - avg_loss=0.159045, avg_acc=0.918205
Epoch 8/20 - avg_loss=0.157782, avg_acc=0.919572
Epoch 9/20 - avg_loss=0.157342, avg_acc=0.920635
Epoch 10/20 - avg_loss=0.156988, avg_acc=0.921812
Epoch 11/20 - avg_loss=0.156800, avg_acc=0.921926
Epoch 12/20 - avg_loss=0.156772, avg_acc=0.922913
Epoch 13/20 - avg_loss=0.156554, avg_acc=0.923407
Epoch 14/20 - avg_loss=0.156409, avg_acc=0.922761
Epoch 15/20 - avg_loss=0.156375, avg_acc=0.923673
Epoch 16/20 - avg_loss=0.156327, avg_acc=0.923597
Epoch 17/20 - avg_loss=0.156124, avg_acc=0.923939
Epoch 18/20 - avg_loss=0.155907, avg_acc=0.922913
Epoch 19/20 - avg_loss=0.155548, avg_acc=0.922610
Epoch 20/20 - avg_loss=0.155070, avg_acc=0.921318

Testing configuration: depth=2, learning_rate=5e-05, loss_function=L1, optimizer=SGD
Epoch 1/20 - avg_loss=0.568514, avg_acc=0.610466
Epoch 2/20 - avg_loss=0.441839, avg_acc=0.730387
Epoch 3/20 - avg_loss=0.420473, avg_acc=0.737374
Epoch 4/20 - avg_loss=0.408375, avg_acc=0.742994
Epoch 5/20 - avg_loss=0.389899, avg_acc=0.748234
Epoch 6/20 - avg_loss=0.363849, avg_acc=0.770601
Epoch 7/20 - avg_loss=0.344307, avg_acc=0.792170
Epoch 8/20 - avg_loss=0.333850, avg_acc=0.799537
Epoch 9/20 - avg_loss=0.326833, avg_acc=0.807777
Epoch 10/20 - avg_loss=0.321423, avg_acc=0.814878
Epoch 11/20 - avg_loss=0.316852, avg_acc=0.812828
Epoch 12/20 - avg_loss=0.312633, avg_acc=0.810549
Epoch 13/20 - avg_loss=0.309642, avg_acc=0.807625
Epoch 14/20 - avg_loss=0.308658, avg_acc=0.807473
Epoch 15/20 - avg_loss=0.308057, avg_acc=0.807473
Epoch 16/20 - avg_loss=0.307557, avg_acc=0.807739
Epoch 17/20 - avg_loss=0.307125, avg_acc=0.807967
Epoch 18/20 - avg_loss=0.306730, avg_acc=0.807283
Epoch 19/20 - avg_loss=0.306360, avg_acc=0.807739
Epoch 20/20 - avg_loss=0.306016, avg_acc=0.807321
Starting Bayesian optimization with parallelism...

Testing configuration: depth=5, learning_rate=0.005, loss_function=L2, optimizer=SGD
Epoch 1/20 - avg_loss=0.275814, avg_acc=0.797866
Epoch 2/20 - avg_loss=0.223692, avg_acc=0.835156
Epoch 3/20 - avg_loss=0.215662, avg_acc=0.843510
Epoch 4/20 - avg_loss=0.215728, avg_acc=0.845447
Epoch 5/20 - avg_loss=0.216330, avg_acc=0.844498
Epoch 6/20 - avg_loss=0.217831, avg_acc=0.840131
Epoch 7/20 - avg_loss=0.216574, avg_acc=0.844422
Epoch 8/20 - avg_loss=0.216774, avg_acc=0.843282
Epoch 9/20 - avg_loss=0.216418, avg_acc=0.845599
Epoch 10/20 - avg_loss=0.216100, avg_acc=0.841763
Epoch 11/20 - avg_loss=0.217062, avg_acc=0.847346
Epoch 12/20 - avg_loss=0.216238, avg_acc=0.844612
Epoch 13/20 - avg_loss=0.218059, avg_acc=0.842751
Epoch 14/20 - avg_loss=0.217245, avg_acc=0.844877
Epoch 15/20 - avg_loss=0.215623, avg_acc=0.842485
Epoch 16/20 - avg_loss=0.216409, avg_acc=0.842941
Epoch 17/20 - avg_loss=0.177494, avg_acc=0.871231
Epoch 18/20 - avg_loss=0.147455, avg_acc=0.891395
Epoch 19/20 - avg_loss=0.142939, avg_acc=0.901724
Epoch 20/20 - avg_loss=0.120228, avg_acc=0.909281

Testing configuration: depth=4, learning_rate=0.5, loss_function=L2, optimizer=Adagrad
Epoch 1/20 - avg_loss=0.222765, avg_acc=0.789246
Epoch 2/20 - avg_loss=0.198383, avg_acc=0.822359
Epoch 3/20 - avg_loss=0.195714, avg_acc=0.828814
Epoch 4/20 - avg_loss=0.193500, avg_acc=0.829308
Epoch 5/20 - avg_loss=0.193119, avg_acc=0.831625
