Starting Bayesian optimization...

Testing configuration: depth=6, learning_rate=5e-06, loss_function=Huber, optimizer=Adadelta, normalization=-pi_to_pi
Epoch 1/20 - avg_loss=0.518370, avg_acc=0.389269, avg_test_acc=0.283246
Epoch 2/20 - avg_loss=0.517160, avg_acc=0.391053, avg_test_acc=0.283360
Epoch 3/20 - avg_loss=0.515953, avg_acc=0.393028, avg_test_acc=0.283398
Epoch 4/20 - avg_loss=0.514750, avg_acc=0.394737, avg_test_acc=0.283360
Epoch 5/20 - avg_loss=0.513550, avg_acc=0.395952, avg_test_acc=0.283018
Epoch 6/20 - avg_loss=0.512354, avg_acc=0.397889, avg_test_acc=0.282790
Epoch 7/20 - avg_loss=0.511164, avg_acc=0.399673, avg_test_acc=0.282562
Epoch 8/20 - avg_loss=0.509978, avg_acc=0.401382, avg_test_acc=0.282562
Epoch 9/20 - avg_loss=0.508802, avg_acc=0.403053, avg_test_acc=0.282487
Epoch 10/20 - avg_loss=0.507634, avg_acc=0.404268, avg_test_acc=0.282411
Epoch 11/20 - avg_loss=0.506468, avg_acc=0.405977, avg_test_acc=0.282600
Epoch 12/20 - avg_loss=0.505302, avg_acc=0.407496, avg_test_acc=0.282828
Epoch 13/20 - avg_loss=0.504149, avg_acc=0.408901, avg_test_acc=0.283056
Epoch 14/20 - avg_loss=0.502997, avg_acc=0.410192, avg_test_acc=0.283056
Epoch 15/20 - avg_loss=0.501853, avg_acc=0.411217, avg_test_acc=0.283284
Epoch 16/20 - avg_loss=0.500717, avg_acc=0.412205, avg_test_acc=0.283436
Epoch 17/20 - avg_loss=0.499585, avg_acc=0.413990, avg_test_acc=0.283550
Epoch 18/20 - avg_loss=0.498458, avg_acc=0.414977, avg_test_acc=0.283664
Epoch 19/20 - avg_loss=0.497337, avg_acc=0.415964, avg_test_acc=0.283778
Epoch 20/20 - avg_loss=0.496224, avg_acc=0.417065, avg_test_acc=0.283854

Testing configuration: depth=4, learning_rate=0.005, loss_function=L1, optimizer=Adam, normalization=-pi_to_pi
Epoch 1/20 - avg_loss=0.527929, avg_acc=0.619275, avg_test_acc=0.295056
Epoch 2/20 - avg_loss=0.515796, avg_acc=0.638832, avg_test_acc=0.278461
Epoch 3/20 - avg_loss=0.505759, avg_acc=0.651629, avg_test_acc=0.497646
Epoch 4/20 - avg_loss=0.502025, avg_acc=0.655920, avg_test_acc=0.358358
Epoch 5/20 - avg_loss=0.499723, avg_acc=0.659642, avg_test_acc=0.585441
Epoch 6/20 - avg_loss=0.499840, avg_acc=0.660629, avg_test_acc=0.619465
Epoch 7/20 - avg_loss=0.499263, avg_acc=0.659604, avg_test_acc=0.591441
Epoch 8/20 - avg_loss=0.498794, avg_acc=0.658768, avg_test_acc=0.528025
Epoch 9/20 - avg_loss=0.496704, avg_acc=0.660211, avg_test_acc=0.485798
Epoch 10/20 - avg_loss=0.497297, avg_acc=0.660819, avg_test_acc=0.497342
Epoch 11/20 - avg_loss=0.496682, avg_acc=0.662034, avg_test_acc=0.461191
Epoch 12/20 - avg_loss=0.495540, avg_acc=0.664692, avg_test_acc=0.455381
Epoch 13/20 - avg_loss=0.496698, avg_acc=0.661540, avg_test_acc=0.322815
Epoch 14/20 - avg_loss=0.495225, avg_acc=0.665110, avg_test_acc=0.511658
Epoch 15/20 - avg_loss=0.495826, avg_acc=0.664350, avg_test_acc=0.600440
Epoch 16/20 - avg_loss=0.495928, avg_acc=0.662566, avg_test_acc=0.381370
Epoch 17/20 - avg_loss=0.494918, avg_acc=0.665110, avg_test_acc=0.495177
Epoch 18/20 - avg_loss=0.495794, avg_acc=0.661502, avg_test_acc=0.430850
Epoch 19/20 - avg_loss=0.496988, avg_acc=0.660477, avg_test_acc=0.476494
Epoch 20/20 - avg_loss=0.495208, avg_acc=0.662490, avg_test_acc=0.577808

Testing configuration: depth=9, learning_rate=0.0005, loss_function=L2, optimizer=Adadelta, normalization=-pi_to_pi
Epoch 1/20 - avg_loss=1.043108, avg_acc=0.445660, avg_test_acc=0.339143
Epoch 2/20 - avg_loss=0.839789, avg_acc=0.411179, avg_test_acc=0.340245
Epoch 3/20 - avg_loss=0.714345, avg_acc=0.470760, avg_test_acc=0.337738
Epoch 4/20 - avg_loss=0.646729, avg_acc=0.479039, avg_test_acc=0.331625
Epoch 5/20 - avg_loss=0.610806, avg_acc=0.479494, avg_test_acc=0.325549
Epoch 6/20 - avg_loss=0.589164, avg_acc=0.484507, avg_test_acc=0.328587
Epoch 7/20 - avg_loss=0.574474, avg_acc=0.483292, avg_test_acc=0.328017
Epoch 8/20 - avg_loss=0.563788, avg_acc=0.482304, avg_test_acc=0.328549
Epoch 9/20 - avg_loss=0.555568, avg_acc=0.483064, avg_test_acc=0.329270
Epoch 10/20 - avg_loss=0.549096, avg_acc=0.483861, avg_test_acc=0.329840
Epoch 11/20 - avg_loss=0.543701, avg_acc=0.483709, avg_test_acc=0.331207
Epoch 12/20 - avg_loss=0.539144, avg_acc=0.485912, avg_test_acc=0.332498
Epoch 13/20 - avg_loss=0.535226, avg_acc=0.487431, avg_test_acc=0.333941
Epoch 14/20 - avg_loss=0.531783, avg_acc=0.484165, avg_test_acc=0.334511
Epoch 15/20 - avg_loss=0.528729, avg_acc=0.485304, avg_test_acc=0.333181
Epoch 16/20 - avg_loss=0.526043, avg_acc=0.487279, avg_test_acc=0.333599
Epoch 17/20 - avg_loss=0.523654, avg_acc=0.489140, avg_test_acc=0.334473
Epoch 18/20 - avg_loss=0.521542, avg_acc=0.490734, avg_test_acc=0.335612
Epoch 19/20 - avg_loss=0.519665, avg_acc=0.493317, avg_test_acc=0.335916
Epoch 20/20 - avg_loss=0.517990, avg_acc=0.495367, avg_test_acc=0.336751

Testing configuration: depth=7, learning_rate=0.005, loss_function=Huber, optimizer=SGD, normalization=0_to_2pi
Epoch 1/20 - avg_loss=0.159297, avg_acc=0.755449, avg_test_acc=0.470950
