depth,avg_loss,final_test_acc,final_train_acc,execution_time,trainability
1,0.32659438848932043,0.762096,0.7631000000000002,28233.184797286987,10.61235254686969
2,0.30917836568628987,0.9032939999999998,0.9038700000000002,51307.56714963913,4.153769391282502
3,0.018171160094289006,0.9590919999999998,0.9587100000000002,73236.87029314041,3.101244932447615
4,0.03437588595507748,0.9750030000000004,0.9753900000000003,95567.82256388664,2.1598079401769357
5,0.03336928237899457,0.9790910000000004,0.9786450000000002,121537.63169836998,1.7626924447910899
6,0.09314189685515259,0.9807400000000005,0.9793150000000003,154895.22837805748,1.6288243247178338
7,0.0389262754256011,0.9763100000000003,0.9762250000000003,189161.30726885796,1.6043325967224336
8,0.015555908873102453,0.9789330000000003,0.9785050000000004,202473.45686769485,1.4225940060836662
9,0.0046879252548194476,0.9852030000000003,0.9837350000000005,217289.43728518486,1.5633969959982437
10,0.11148764853795115,0.9792310000000004,0.9790450000000004,231341.27032709122,1.3194146958659039
11,0.022184717316929437,0.9860310000000005,0.9869550000000004,263346.2236778736,1.2805057112765013
12,0.006782258845711908,0.9868000000000006,0.9876200000000004,287338.1519873142,1.4237566717952093
13,0.20495186505722812,0.9806680000000005,0.9807200000000004,301278.18967461586,1.462170972587744
14,0.05463639249646803,0.9820110000000005,0.9810350000000003,329290.0004758835,1.6456499986496593
15,0.05745266586877236,0.9798190000000003,0.9799850000000003,365324.1328473091,1.5143818224667798
